no,단어,뜻,등급,변형1,변형2
1489,intimate,친밀한,중고,,
1493,invade,침입하다,중고,,
1494,invent,발명하다,중고,,
1495,invest,투자하다,중고,,
1496,investigate,조사하다,중고,,
1498,involve,말아넣다,중고,,
1499,iron,쇠,중고,,
1500,irony,반어,중고,,
1501,irritate,노하게 하다,중고,,
1502,island,섬,중고,,
1503,isolate,고립시키다,중고,,
1505,item,조항,중고,,
1506,jail,교도소,중고,,
1507,jar,(아가리가 넓은)항아리,중고,,
1508,jaw,턱,중고,,
1510,jet,(가스등의)분출,중고,,
1512,jog,살짝 밀다 덜커덕 움직이다 고르지 않음,중고,,
1514,joint,이음매,중고,,
1515,joke,농담,중고,,
1516,journal,일간신문,중고,,
1517,journey,여행,중고,,
1519,judge,재판관,중고,,
1521,junior,손아래사람,중고,,
1522,jury,배심,중고,,
1524,justice,정의,중고,,
1525,justify,옳다고 하다,중고,,
1534,kit,연장통,중고,,
1536,knee,무릎,중고,,
1538,knight,(중세의)기사,중고,,
1539,knock,치다,중고,,
1542,label,라벨,중고,,
1543,labor,노동,중고,labour,
1544,laboratory,실험실,중고,lab,
1545,lack,결핍,중고,,
1546,ladder,사닥다리,중고,,
1549,lamb,어린 양,중고,,
1550,lamp,등,중고,,
1552,landscape,풍경,중고,,
1553,lane,좁은길,중고,,
1554,language,언어,중고,,
1555,lap,무릎,중고,,
1559,latter,뒤쪽의,중고,,
1560,laugh,(소리내어)웃다,중고,,
1561,launch,진수시키다,중고,,
1562,laundry,세탁물,중고,,
1563,law,법률,중고,,
1564,lawn,잔디밭,중고,,
1565,lawyer,법률가,중고,,
1566,lay,눕히다,중고,,
1567,layer,층,중고,,
1569,lead,이끌다,중고,,
1571,leak,샘,중고,,
1572,lean,기대다,중고,,
1573,leap,껑충 뛰다,중고,,
1576,leather,무두질한 가죽,중고,,
1577,leave,남기고가다,중고,,
1578,lecture,강의,중고,,
1581,legal,법률상의,중고,,
1582,legend,전설,중고,,
1585,leisure,틈,중고,,
1586,lend,빌리다,중고,,
1588,let,시키다,중고,,
1590,level,수평의,중고,,
1591,liberal,자유주의의,중고,,
1592,liberty,자유,중고,,
1594,license,면허,중고,licence,
1595,lid,뚜껑,중고,,
1597,lift,끌어올리다,중고,,
1600,likely,있을 법한,중고,,
1601,likewise,"같이, 마찬가지로",중고,,
1602,limit,한계,중고,,
1604,linguistic,말의,중고,,
1605,link,사슬의 고리,중고,,
1608,liquid,액체,중고,,
1609,list,일람표,중고,,
1612,literature,문학,중고,,
1616,load,짐,중고,,
1617,loan,대부,중고,,
1618,local,장소의,중고,,
1619,locate,관청 등을 두다,중고,,
1620,lock,자물쇠,중고,,
1621,log,통나무,중고,,
1622,logic,논리학,중고,,
1626,loose,풀어진,중고,,
1627,lose,잃다,중고,,
1628,loss,잃음,중고,,
1629,lot,제비,중고,,
1630,loud,시끄러운,중고,,
1631,lounge,빈둥거리다,중고,,
1634,loyal,충성스러운,중고,,
1638,luxury,사치,중고,,
1639,machine,기계,중고,,
1641,magazine,잡지,중고,,
1642,magnet,자석,중고,,
1645,main,주요한,중고,,
1646,maintain,계속하다,중고,,
1647,major,큰쪽의,중고,,
1648,majority,대다수,중고,,
1650,male,남성의,중고,,
1652,manage,관리하다,중고,,
1655,manner,방법,중고,,
1656,manufacture,제조하다,중고,,
1659,margin,가장자리,중고,,
1660,marine,바다의,중고,,
1661,mark,표,중고,,
1663,marvel,경이,중고,,
1664,mass,덩어리,중고,,
1665,master,장,중고,,
1666,match,성냥,중고,,
1667,mate,상대,중고,,
1668,material,원료,중고,,
1670,matter,물질,중고,,
1671,mature,익은,중고,,
1672,maximum,최고점,중고,,
1674,maybe,아마,중고,,
1675,mayor,시장,중고,,
1676,meal,식사,중고,,
1677,mean,의미하다,중고,,
1678,meantime,그동안 그 사이에,중고,,
1680,measure,재다,중고,,
1682,mechanic,직공,중고,,
1683,mechanism,(기계)장치,중고,,
1684,mediate,중재하다,중고,,
1685,medical,의학의,중고,,
1686,medicine,약,중고,,
1688,medium,중간,중고,,
1690,melt,녹다,중고,,
1692,mental,마음의,중고,,
1693,mention,말하다,중고,,
1694,merchant,상인,중고,,
1697,merit,장점,중고,,
1698,mess,혼란,중고,,
1699,metal,금속,중고,,
1700,method,방법,중고,,
1702,microphone,확성기,중고,,
1703,microwave,극초단파 전자레인지로 요리하다,중고,,
1707,mild,온후한,중고,,
1708,military,군의,중고,,
1710,mill,멧돌,중고,,
1711,million,백만,중고,,
1713,miner,광산업자,중고,,
1714,mineral,광물,중고,,
1715,minimal,최소(한도)의,중고,,
1716,minimum,최소 한도,중고,,
1717,ministry,장관(목사)의 직(소임),중고,,
1718,minor,작은 편의,중고,,
1719,minute,분,중고,,
1720,miracle,기적,중고,,
1723,missile,미사일,중고,,
1724,mission,사명,중고,,
1725,mistake,틀리다,중고,,
1726,mix,섞다,중고,,
1727,mobile,움직이기 쉬운,중고,,
1729,mode,방법,중고,,
1731,modern,현대의,중고,,
1734,moisture,습기,중고,,
1736,moment,순간,중고,,
1738,monitor,충고자,중고,,
1740,monster,괴물,중고,,
1743,mood,(일시적인)기분,중고,,
1745,moral,도덕의,중고,,
1746,moreover,그 위에,중고,,
1750,motion,운동,중고,,
1751,motive,동기,중고,,
1752,mount,산,중고,,
1759,mud,진흙,중고,,
1760,multiple,복합의,중고,,
1761,multiply,늘리다,중고,,
1762,murder,살인,중고,,
1763,muscle,근육,중고,,
1765,mushroom,버섯,중고,,
1769,myth,신화,중고,,
1770,nail,손톱,중고,,
1772,naked,발가벗은,중고,,
1775,narrate,이야기하다,중고,,
1776,narrow,좁은,중고,,
1779,native,타고난,중고,,
1781,navy,해군(력),중고,,
1783,neat,산뜻한,중고,,
1784,necessary,필요한,중고,,
1787,needle,바늘 바늘로 꿰매다 바느질하다 아슬아슬한,중고,,
1788,negative,부정적인,중고,,
1789,neglect,게을리 하다,중고,,
1790,negotiate,교섭하다,중고,,
1791,neighbor,이웃사람(나라),중고,neighbour,
1792,neither,(둘중)어느쪽도 -아니다 -도 아니다,중고,,
1793,nephew,조카,중고,,
1794,nervous,신경의,중고,,
1795,nest,보금자리,중고,,
1796,net,그물,중고,,
1797,network,그물세공,중고,,
1798,neutral,중립의,중고,,
1800,nevertheless,그럼에도 불구하고,중고,,
1806,nightmare,악몽,중고,,
1808,noble,고귀한,중고,,
1809,nobody,아무도 -않다 하찮은 사람,중고,,
1810,nod,끄덕이다,중고,,
1811,noise,소리,중고,,
1813,none,아무도(조금도)-않다 조금도(결코)-않다,중고,,
1815,nonsense,허튼 소리,중고,,
1817,nor,-도 또한-않다,중고,,
1819,normal,표준(의),중고,,
1825,notice,"통지, 통보",중고,,
1827,novel,소설,중고,,
1829,nowadays,"오늘날에는, 요즈음에는",중고,,
1830,nowhere,아무데도 …없다,중고,,
1831,nuclear,"핵의, 핵을 형성하는 원자핵의",중고,,
1836,nut,견과,중고,,
1837,oak,참나무,중고,,
1838,obey,따르다,중고,,
1839,object,사물,중고,,
1840,objective,객관적인,중고,,
1842,observe,관찰하다,중고,,
1844,obtain,얻다,중고,,
1845,obvious,명백한,중고,,
1846,occasion,경우,중고,,
1847,occupation,일직업,중고,,
1848,occupy,차지하다,중고,,
1849,occur,일어나다,중고,,
1851,odd,묘한,중고,,
1854,offend,성나게 하다,중고,,
1855,offer,권하다,중고,,
1857,officer,공무원,중고,,
1858,official,공무원,중고,,
1862,olive,올리브나무,중고,,
1864,once,한번,중고,,
1868,operate,움직이다,중고,,
1869,opinion,의견,중고,,
1870,opportunity,기회,중고,,
1871,oppose,반대하다,중고,,
1872,optimist,낙천가,중고,,
1873,option,선택(권의 자유),중고,,
1875,oral,구두의,중고,,
1877,orchestra,관현악단,중고,,
1878,order,순서,중고,,
1879,ordinary,보통의,중고,,
1880,organ,(생물의)기관,중고,,
1881,organic,유기체의,중고,,
1882,organize,조직하다,중고,organise,
1883,orient,동양 동양의 동쪽으로 향하게 하다,중고,,
1884,origin,기원,중고,,
1885,other,다른 다른 것 그렇지 않고,중고,,
1886,otherwise,딴 방법으로는,중고,,
1887,ought,au해야만 하다,중고,,
1890,outcome,결과,중고,,
1891,outline,윤곽,중고,,
1892,output,산출,중고,,
1894,outstanding,눈에 띄는,중고,,
1896,overall,포괄(전면)적인 덧옷,중고,,
1897,overcome,이기다,중고,,
1898,overhead,머리위에 머리 위의,중고,,
1899,overlap,겹치다,중고,,
1900,overlook,내려다 보다,중고,,
1901,overnight,전날밤의,중고,,
1902,oversea,해외(로부터)의,중고,overseas,
1904,owe,지불할 의무가 있다,중고,,
1905,own,자기자신의 소유하다,중고,,
1906,pace,한걸음,중고,,
1907,pack,꾸러미,중고,,
1908,packet,다발,중고,,
1909,pad,(및에)덧대는 것,중고,,
1910,pain,고통,중고,,
1912,pair,한쌍,중고,,
1914,pale,창백한,중고,,
1915,palm,손바닥,중고,,
1916,pan,남비 사금 등을 남비로 가려내다,중고,,
1918,panic,돌연한공포,중고,,
1921,paragraph,(문장의)절,중고,,
1923,pardon,용서하다 용서,중고,,
1928,participate,참가하다,중고,,
1930,particular,특수한,중고,,
1932,passage,"통행, 통과",중고,,
1933,passenger,승객,중고,,
1934,passion,정열,중고,,
1935,passport,여권,중고,,
1936,past,과거,중고,,
1940,path,작은 길,중고,,
1941,patient,인내심이 강한 환자,중고,,
1943,pattern,모범,중고,,
1944,pause,중지,중고,,
1948,peak,(뾰족한)끝,중고,,
1951,peel,껍질을 벗기다 벗어지다 껍질,중고,,
1952,peer,동료,중고,,
1953,penalty,벌,중고,,
1956,pepper,고추,중고,,
1957,per,-에 의하여,중고,,
1958,perceive,지각하다,중고,,
1959,perfect,완전한,중고,,
1960,perform,다하다,중고,,
1961,perhaps,아마,중고,,
1962,period,시간,중고,,
1963,permanent,영구의,중고,,
1964,permit,허가하다,중고,,
1966,person,사람,중고,,
1967,personality,개성,중고,,
1969,persuade,설득하다,중고,,
1970,pet,애완동물,중고,,
1972,phenomenon,현상,중고,,
1973,philosophy,철학,중고,,
1974,photograph,사진 촬영하다,중고,,
1975,phrase,구,중고,,
1976,physical,물질의,중고,,
1977,physics,물리학,중고,,
1981,piece,한 조각,중고,,
1983,pile,쌓아 올린 것,중고,,
1984,pill,알약,중고,,
1985,pin,핀 핀으로 꽂다,중고,,
1987,pine,소나무 수척해 지다,중고,,
1989,pioneer,개척자,중고,,
1991,pity,불쌍히 여김,중고,,
1993,plain,분명한,중고,,
1995,planet,행성,중고,,
1996,plant,실물,중고,,
1997,plate,판,중고,,
1998,platform,단,중고,,
2000,pleasant,기분 좋은,중고,,
2002,pleasure,즐거움,중고,,
2003,plenty,많음,중고,,
2004,plot,음모,중고,,
2005,plus,더하기의 -외에,중고,,
2008,poem,시,중고,,
2009,poet,시인,중고,,
2011,poison,독,중고,,
2012,polar,남극의,중고,,
2013,pole,폴란드사람,중고,,
2015,policy,정책,중고,,
2017,polite,공손한,중고,,
2018,politics,정치,중고,,
2019,poll,투표,중고,,
2020,pollute,-을 더럽히다,중고,,
2021,pond,"못, 연못",중고,,
2022,pool,판돈,중고,,
2024,pop,팝,중고,,
2026,popular,"민중 의, 대중의",중고,,
2027,population,인구,중고,,
2028,pork,돼지고기,중고,,
2029,port,"항구, 항만, 상항",중고,,
2031,portrait,초상,중고,,
2032,pose,"자세, 포즈  마음가짐  꾸민 태도",중고,,
2033,position,위치,중고,,
2034,positive,"명확한, 의문의 여지가 없는, 부정할 수 없는",중고,,
2035,possess,소유하다,중고,,
2036,possible,가능한,중고,,
2037,post,기둥,중고,,
2038,poster,포스터,중고,,
2039,pot,단지,중고,,
2041,potential,가능한,중고,,
2042,pour,따르다,중고,,
2043,powder,가루,중고,,
2045,practical,실제의,중고,,
2046,practice,연습,중고,practise,
2047,praise,칭찬,중고,,
2048,pray,빌다,중고,,
2051,precious,비싼,중고,,
2052,precise,정확한,중고,,
2054,predict,"예언하다, 예보하다 예언하다",중고,,
2055,prefer,"오히려 …을 좋아하다,",중고,,
2056,pregnant,임신한 충만한,중고,,
2060,prepare,"준비하 다, 마련하다, 채비를 갖추다",중고,,
2061,prescribe,"명령하다, 지령하다",중고,,
2062,presence,"존재, 현존, 실재  출석, 임석, 참석",중고,,
2064,preserve,"보호하다, 지키다",중고,,
2065,president,대통령 회장,중고,,
2066,press,강제로 모집하다,중고,,
2068,pretend,핑계삼다,중고,,
2071,prevent,"막다, 방해하다",중고,,
2072,previous,"앞의, 이전의",중고,,
2073,prey,먹이,중고,,
2074,price,"값, 가격, 대가, 정가",중고,,
2075,pride,자존심,중고,,
2076,priest,성직자,중고,,
2077,primary,"첫째의, 제1위의, 수위의 초등의, 초보의",중고,,
2078,prime,"수위의, 최초의, 원시적인",중고,,
2079,primitive,"원시의, 초기의",중고,,
2081,principal,"주요한, 주된, 제일의, 앞장서는",중고,,
2082,principle,"원리, 원칙, 법칙, 공리",중고,,
2085,prison,교도소,중고,,
2086,privacy,"남의 눈을 피함, 은거, 은둔, 은퇴 생활 사생활",중고,,
2087,private,"사적인, 사사로운, 개인에 속한",중고,,
2090,probably,"아마, 십중팔구",중고,,
2093,proceed,"나아가다, 가다",중고,,
2094,process,"진행, 작용",중고,,
2095,produce,"생산하다, 산출하다, 생기게 하다,",중고,,
2096,profession,"직업 공언, 선언, 고백",중고,,
2097,professor,교수,중고,,
2099,profit,"이익, 이득, 벌이",중고,,
2101,progress,"진행, 전진, 진척  진보, 향상, 발달, 발전",중고,,
2104,promise,"약속, 서약, 계약",중고,,
2105,promote,"승진시키다 진행시키다,",중고,,
2107,pronounce,"발음하다, 음독하다",중고,,
2108,proof,증명,중고,,
2109,proper,"고유의, 독특한, 본연의,  특유한",중고,,
2110,property,"재산, 자산",중고,,
2112,propose,"제의하다, 제출하다 추천하다, 지명하다",중고,,
2113,prospect,"전망, 조망, 경치",중고,,
2115,protect,"보호하다, 막다, 지키다, 비호하다",중고,,
2116,protein,IG1s,중고,,
2117,protest,단언하다,중고,,
2118,proud,"뽐내는, 자랑하는 자긍하는, 영광 으로 여기는",중고,,
2119,prove,"시험하다, 실험하다, 경험하다, 시험해 보다",중고,,
2120,provide,"준비하다, 미리 …에 대비하다  규정하다",중고,,
2121,province,"주, 성, 도  범위, 영역, 분야",중고,,
2123,psychology,심리학,중고,,
2124,pub,펍,중고,,
2125,public,"심리, 심리 상태",중고,,
2126,publish,"발표 하다, 널리 알리다",중고,,
2127,pull,"끌다, 당기다, 끌어 당기다, 잡아 끌다",중고,,
2128,pump,펌프스   댄스용 구두,중고,,
2129,punch,"주먹질, 펀치  힘, 활기",중고,,
2130,punish,"벌하다, 응징하다, 처형하다",중고,,
2131,pupil,흔히 국민학교 중학교 학생,중고,,
2133,purchase,"사다, 구입하다",중고,,
2134,pure,"순수한  깨끗한, 순전한, 결백한",중고,,
2135,purple,자줏빛의  새빨간  제왕의,중고,,
2136,purpose,목적,중고,,
2137,pursue,"쫓다, 추적하다, 몰다",중고,,
2141,qualify,자격을 부여하다,중고,,
2142,quality,질,중고,,
2143,quantity,양,중고,,
2144,quarter,1,중고,,
2150,quit,"(의무,책임을)벗어난 떠나다",중고,,
2151,quite,아주,중고,,
2155,racial,인종(상)의,중고,,
2157,rail,가로장,중고,,
2160,raise,올리다,중고,,
2162,random,닥치는 대로의,중고,,
2163,range,줄,중고,,
2164,rank,열,중고,,
2165,rapid,빠른,중고,,
2166,rare,희귀한,중고,,
2167,rat,쥐,중고,,
2168,rate,율,중고,,
2169,rather,오히려,중고,,
2171,raw,날것의,중고,,
2172,reach,도착하다,중고,,
2173,react,반응을 나타내다,중고,,
2176,real,실재하는,중고,,
2177,realize,깨닫다,중고,realise,
2179,reason,이성,중고,,
2181,recall,되부르다,중고,,
2182,receipt,수령,중고,,
2183,receive,받다,중고,,
2184,recent,최근의,중고,,
2185,reception,받음,중고,,
2186,recipe,조리법,중고,,
2187,recognize,인정하다,중고,,
2188,recommend,추천하다,중고,,
2189,record,기록하다,중고,,
2190,recover,되찾다,중고,,
2192,recycle,재생 이용하다,중고,,
2194,reduce,줄이다,중고,,
2195,refer,조회시키다,중고,,
2197,reflect,반사하다,중고,,
2198,reform,개정(개혁)하다,중고,,
2199,refrigerator,냉장고,중고,fridge,
2200,refuse,거절하다,중고,,
2201,regard,주목해서 보다,중고,,
2202,region,지방,중고,,
2203,register,기록,중고,,
2204,regret,유감,중고,,
2205,regular,규칙적인,중고,,
2208,reject,거절하다,중고,,
2209,relate,이야기하다,중고,,
2210,relative,친척,중고,,
2211,relax,늦추다,중고,,
2212,release,도와주다,중고,,
2214,relieve,구출하다,중고,,
2215,religion,종교,중고,,
2217,rely,믿다,중고,,
2218,remain,남다,중고,,
2219,remark,깨닫다,중고,,
2220,remedy,치료,중고,,
2222,remind,생각나게 하다,중고,,
2223,remote,먼,중고,,
2224,remove,옮기다,중고,,
2225,rent,지대,중고,,
2226,repair,수선(수정)하다,중고,,
2227,repeat,반복하다,중고,,
2228,replace,되돌려 놓다,중고,,
2229,reply,대답하다,중고,,
2230,report,보고,중고,,
2231,represent,표현(묘사)하다,중고,,
2232,republic,공화국,중고,,
2234,request,부탁하다,중고,,
2235,require,요구하다,중고,,
2236,rescue,구하다,중고,,
2237,research,연구,중고,,
2238,resemble,닮다,중고,,
2239,reserve,따로 두다,중고,,
2242,resist,저항하다,중고,,
2243,resolve,분해하다,중고,,
2244,resort,(자주)가다,중고,,
2245,resource,자원,중고,,
2246,respect,존경하다,중고,,
2248,respond,대답하다,중고,,
2249,responsible,책임을 져야할,중고,,
2250,rest,휴식,중고,,
2252,restore,반환하다,중고,,
2256,result,결과,중고,,
2260,retire,퇴직하다,중고,,
2263,reveal,나타내다,중고,,
2266,review,재조사,중고,,
2267,revise,교정하다,중고,,
2268,revive,소생하다,중고,,
2269,revolution,혁명,중고,,
2270,reward,보수,중고,,
2271,rhythm,율동,중고,,
2272,rice,쌀,중고,,
2275,ride,타다,중고,,
2280,rise,올리다,중고,,
2281,risk,위험 걸다,중고,,
2282,rival,경쟁자 경쟁하는 경쟁하다,중고,,
2286,roast,불에 쬐어 굽다 불고기 구운,중고,,
2287,rob,"강탈하다, 약탈하다, 빼앗다",중고,,
2290,role,(배우의)역,중고,,
2291,roll,구르다,중고,,
2292,romantic,전기소설적인,중고,,
2295,root,뿌리,중고,,
2296,rope,새끼,중고,,
2298,rough,거친,중고,,
2299,round,둥근 원 돌아서,중고,,
2300,route,길,중고,,
2301,routine,정해진 일,중고,,
2302,row,줄,중고,,
2303,royal,왕의,중고,,
2304,rub,마찰하다,중고,,
2305,rubber,맛사지사,중고,,
2306,rude,버릇없는,중고,,
2307,ruin,파멸,중고,,
2308,rule,규칙,중고,,
2309,rumor,소문,중고,rumour,
2311,rural,시골의,중고,,
2312,rush,돌진하다,중고,,
2314,sacred,신성한,중고,,
2315,sacrifice,희생,중고,,
2318,sail,돛,중고,,
2319,salary,봉급 봉급을 주다,중고,,
2325,satellite,위성,중고,,
2326,satisfy,만족시키다,중고,,
2329,scale,비늘(모양의 것),중고,,
2330,scan,시의 운율을살피다,중고,,
2331,scandal,추문,중고,,
2333,scare,위협하다,중고,,
2335,scene,장면,중고,,
2336,scheme,계획,중고,,
2337,scholar,학자,중고,,
2341,scold,꾸짖다 잔소리 심한 사람,중고,,
2344,scramble,기다,중고,,
2345,scratch,"할퀴다, 할퀴어 상처 를 내다  긁다",중고,,
2346,scream,비명을 지르다,중고,,
2347,screen,병풍,중고,,
2352,seal,인장,중고,,
2353,search,찾다,중고,,
2355,seat,좌석,중고,,
2356,secret,비밀의,중고,,
2357,secretary,비서,중고,,
2358,sector,부채꼴,중고,,
2359,secure,안전한,중고,,
2361,seed,씨앗,중고,,
2362,seek,찾다,중고,,
2363,seem,-으로 보이다,중고,,
2365,select,고르다,중고,,
2366,self,자기,중고,,
2369,senior,연상의,중고,,
2370,sensation,감각,중고,,
2371,sense,감각,중고,,
2372,sensible,분별있는,중고,,
2373,sentence,문장,중고,,
2375,separate,분리된,중고,,
2377,series,연속,중고,,
2378,serious,진지한,중고,,
2379,serve,섬기다,중고,,
2380,session,개회,중고,,
2381,settle,등받이가 높은 긴 의자 놓다,중고,,
2382,several,수개의,중고,,
2383,severe,호된,중고,,
2384,sew,꿰매다,중고,,
2385,sex,성,중고,,
2386,shade,그늘,중고,,
2387,shadow,그림자,중고,,
2388,shake,흔들어 움직이다,중고,,
2389,shall,au-하겠다,중고,,
2390,shallow,얕은 얕은 곳 얕아지다,중고,,
2391,shame,부끄럼,중고,,
2392,shape,모양,중고,,
2393,share,몫,중고,,
2394,sharp,날카로운,중고,,
2395,shave,깎다,중고,,
2397,sheep,양,중고,,
2398,sheet,깔천,중고,,
2399,shelf,선반,중고,,
2400,shell,겉껍질,중고,,
2403,shift,옮기다,중고,,
2404,shine,빛나다,중고,,
2408,shoot,쏘다,중고,,
2410,shore,물가,중고,,
2413,shoulder,어깨,중고,,
2414,shout,외치다,중고,,
2416,shower,소나기 빗발치듯 퍼붓다(쏟다),중고,,
2418,shut,닫다,중고,,
2422,sigh,한숨,중고,,
2423,sight,광경,중고,,
2424,sign,부호,중고,,
2425,significant,중요한,중고,,
2426,silent,조용한,중고,,
2427,silk,비단,중고,,
2428,silly,어리석은 바보,중고,,
2429,silver,은,중고,,
2430,similar,유사한,중고,,
2431,simple,단일의,중고,,
2434,sin,사인,중고,,
2435,since,-이래,중고,,
2437,single,단 하나의,중고,,
2438,sink,가라앉다,중고,,
2441,site,부지,중고,,
2442,situation,장소,중고,,
2444,skill,숙련,중고,,
2446,skip,도약,중고,,
2450,slave,노예 노예처럼 일하다,중고,,
2452,slice,얇은조각,중고,,
2453,slide,미끄러지다,중고,,
2455,slim,호리호리한,중고,,
2456,slip,(때가)어느덧 지나가다,중고,,
2461,smash,박살내다,중고,,
2464,smoke,연기,중고,,
2465,smooth,매끄러운,중고,,
2466,snake,뱀,중고,,
2467,snap,덥석 물다,중고,,
2472,soak,담그다,중고,,
2473,soap,비누 비누로 씻다,중고,,
2475,social,사회의,중고,,
2476,society,사회,중고,,
2477,sociology,사회학,중고,,
2480,software,소프트웨어,중고,,
2481,soil,흙,중고,,
2482,soldier,군인,중고,,
2484,solid,고체의,중고,,
2485,solo,독주,중고,,
2486,solve,해결하다,중고,,
2488,somewhat,약간,중고,,
2491,soon,얼마 안 가서,중고,,
2493,sore,슬픈,중고,,
2495,sort,종류,중고,,
2496,soul,혼,중고,,
2499,source,원천,중고,,
2503,spare,여분의,중고,,
2504,spark,불꽃,중고,,
2506,special,특별한,중고,,
2507,species,종,중고,,
2508,specific,특정한,중고,,
2511,speech,연설,중고,,
2513,spell,철자하다,중고,,
2514,spend,소비하다,중고,,
2517,spin,잣다,중고,,
2518,spirit,정신,중고,,
2523,spoil,망쳐놓다,중고,,
2525,spot,장소,중고,,
2527,spread,펴다,중고,,
2528,square,정사각형의,중고,,
2529,squeeze,압착하다,중고,,
2530,stable,안정된,중고,,
2532,stage,무대,중고,,
2533,stain,더럽히다,중고,,
2534,stairs,계단,중고,,
2535,stamp,도장,중고,,
2537,standard,표준,중고,,
2538,stare,응시하다,중고,,
2541,state,상태,중고,,
2542,station,역,중고,,
2544,statue,조상,중고,,
2545,status,신분,중고,,
2547,steady,확고한,중고,,
2548,steal,훔치다,중고,,
2549,steam,증기,중고,,
2550,steel,강철,중고,,
2552,stem,줄기,중고,,
2553,step,걷다,중고,,
2554,stick,나무토막,중고,,
2556,still,소리가 없는 아직(도),중고,,
2560,stock,줄기,중고,,
2561,stomach,위,중고,,
2565,storm,폭풍,중고,,
2567,stove,stave의 과거(분사),중고,,
2568,straight,곧은,중고,,
2570,strange,이상한,중고,,
2571,strategy,용병학,중고,,
2572,straw,짚,중고,,
2574,stream,시내,중고,,
2577,stretch,뻗치다,중고,,
2578,strict,엄중한,중고,,
2579,strike,치다,중고,,
2580,string,끈,중고,,
2582,stripe,줄무늬,중고,,
2585,structure,구조,중고,,
2586,struggle,버둥거리다,중고,,
2589,stuff,재료,중고,,
2590,subject,복종시키다,중고,,
2592,submarine,잠수함,중고,,
2599,suburb,교외,중고,,
2601,succeed,성공하다,중고,,
2602,such,이러한,중고,,
2604,sudden,별안간의,중고,,
2605,suffer,경험하다,중고,,
2606,sufficient,충분한,중고,,
2608,suggest,암시하다,중고,,
2609,suicide,자살 자살하다,중고,,
2610,suit,소송,중고,,
2612,sum,총계,중고,,
2613,summary,요약,중고,,
2614,summit,꼭대기,중고,,
2616,super,임시고용배우,중고,,
2617,superb,장려한,중고,,
2618,superior,뛰어난,중고,,
2622,supply,공급하다,중고,,
2623,support,지탱하다,중고,,
2624,suppose,상상하다,중고,,
2625,sure,"확신하는, 확실한 , 틀림없는",중고,,
2626,surface,표면,중고,,
2627,surgery,외과,중고,,
2628,surprise,놀람,중고,,
2630,surround,에워싸다,중고,,
2631,survey,둘러보다,중고,,
2632,survive,살아 남다,중고,,
2633,suspect,짐작하다,중고,,
2636,swallow,삼키다,중고,,
2638,sweat,땀,중고,,
2640,sweet,단,중고,,
2644,swing,흔들리다,중고,,
2645,switch,회초리,중고,,
2646,symbol,상징,중고,,
2647,sympathy,동정,중고,,
2648,symphony,교향곡,중고,,
2649,symptom,조짐,중고,,
2650,system,조직,중고,,
2652,tackle,고패,중고,,
2653,tag,손잡이가죽,중고,,
2656,tale,이야기,중고,,
2657,talent,재주,중고,,
2660,tap,가볍게 치기,중고,,
2662,target,과녁,중고,,
2663,task,일,중고,,
2665,tattoo,귀영나팔,중고,,
2666,tax,세금,중고,,
2667,tea,차,중고,,
2669,tear,눈물,중고,,
2672,teenage,10대,중고,,
2676,temperature,온도,중고,,
2677,temple,관자놀이,중고,,
2681,tend,(-의)경향이 있다,중고,,
2682,tender,제공,중고,,
2683,tense,시제,중고,,
2684,term,기간,중고,,
2685,terminal,종점의,중고,,
2688,terrible,무시무시한,중고,,
2689,terrific,무서운,중고,,
2690,territory,영토,중고,,
2693,text,원문,중고,,
2699,theater,=theatre 극장,중고,theatre,
2700,theme,논제,중고,,
2701,then,그때,중고,,
2702,theory,이론,중고,,
2705,therefore,그런 까닭에,중고,,
2707,thick,두꺼운,중고,,
2708,thief,도둑,중고,,
2709,thin,얇은,중고,,
2714,thorough,완전한,중고,,
2715,though,-임에도 불구하고 그러나,중고,,
2716,thousand,천,중고,,
2718,threat,협박,중고,,
2719,thrill,오싹하다 오싹함,중고,,
2720,throat,목,중고,,
2721,through,(-을)통하여 통하여 직통의,중고,,
2722,throw,던지다,중고,,
2723,thumb,엄지손가락 엄지손가락으로 만지다,중고,,
2724,thus,이렇게,중고,,
2726,tide,조수,중고,,
2727,tidy,말쑥한,중고,,
2728,tie,매다,중고,,
2730,tight,단단한,중고,,
2731,till,-까지,중고,,
2734,tin,주석,중고,,
2735,tiny,자그마한,중고,,
2736,tip,끝,중고,,
2737,tire,피로하게 하다,중고,tyre,
2738,tissue,조직,중고,,
2739,title,표제,중고,,
2741,tobacco,담배,중고,,
2743,toe,발가락,중고,,
2745,toilet,화장실,중고,,
2747,tone,음조,중고,,
2748,tongue,혀,중고,,
2751,tool,사용세,중고,,
2755,toss,던지다,중고,,
2756,total,총계 전체의 합계하다,중고,,
2758,tough,단단한,중고,,
2760,toward,-쪽으로,중고,towards,
2763,toxic,독의,중고,,
2765,trace,발자국,중고,,
2766,trade,매매,중고,,
2767,tradition,전설,중고,,
2768,traffic,교통,중고,,
2769,tragic,비극의,중고,,
2773,transfer,옮기다,중고,,
2774,transform,"변형(변용,변태)시키다",중고,,
2776,translate,번역하다,중고,,
2778,transport,수송(운송)하다,중고,,
2779,trap,덫,중고,,
2781,tray,쟁반,중고,,
2782,treasure,보물,중고,,
2783,treat,대우하다,중고,,
2787,trend,방향,중고,,
2788,trial,시험,중고,,
